iter	Passed	Remaining
0	0	849
1	1	746
2	2	696
3	2	669
4	3	654
5	3	638
6	4	625
7	4	616
8	5	608
9	6	603
10	6	598
11	7	594
12	7	591
13	8	589
14	8	588
15	9	587
16	10	585
17	10	584
18	11	581
19	11	580
20	12	579
21	12	577
22	13	574
23	14	574
24	14	577
25	15	576
26	15	575
27	16	573
28	17	574
29	17	575
30	18	578
31	19	578
32	19	580
33	20	580
34	21	583
35	21	586
36	22	588
37	23	589
38	23	589
39	24	592
40	25	594
41	26	593
42	26	595
43	27	596
44	28	595
45	28	596
46	29	597
47	30	598
48	30	600
49	31	601
50	32	602
51	33	602
52	33	600
53	34	599
54	34	599
55	35	600
56	36	601
57	37	601
58	37	602
59	38	602
60	39	603
61	39	603
62	40	603
63	41	603
64	41	602
65	42	604
66	43	604
67	44	604
68	44	605
69	45	604
70	46	604
71	46	604
72	47	604
73	48	604
74	49	604
75	49	604
76	50	603
77	51	602
78	51	603
79	52	600
80	52	600
81	53	600
82	54	600
83	54	599
84	55	598
85	56	598
86	57	598
87	57	598
88	58	598
89	59	598
90	59	597
91	60	597
92	61	598
93	62	597
94	62	597
95	63	597
96	64	597
97	64	597
98	65	596
99	66	595
100	66	595
101	67	595
102	68	595
103	69	594
104	69	594
105	70	594
106	71	594
107	71	593
108	72	593
109	73	592
110	73	592
111	74	591
112	75	590
113	75	590
114	76	590
115	77	589
116	78	589
117	78	588
118	79	588
119	80	588
120	80	587
121	81	586
122	82	585
123	82	585
124	83	584
125	84	584
126	85	584
127	85	584
128	86	583
129	87	583
130	87	583
131	88	583
132	89	583
133	90	582
134	90	582
135	91	580
136	92	580
137	92	579
138	93	578
139	94	578
140	94	578
141	95	577
142	96	577
143	97	576
144	97	576
145	98	575
146	99	575
147	99	574
148	100	573
149	101	572
150	101	571
151	102	570
152	102	569
153	103	568
154	104	568
155	104	568
156	105	567
157	106	567
158	107	566
159	107	564
160	108	564
161	108	563
162	109	562
163	110	562
164	111	562
165	111	561
166	112	561
167	113	561
168	113	560
169	114	559
170	115	559
171	116	558
172	116	558
173	117	557
174	118	557
175	118	556
176	119	556
177	120	555
178	121	555
179	121	554
180	122	553
181	123	553
182	123	552
183	124	551
184	125	551
185	125	550
186	126	549
187	127	548
188	127	548
189	128	547
190	129	547
191	129	546
192	130	546
193	131	545
194	131	544
195	132	544
196	133	543
197	134	543
198	134	542
199	135	541
200	136	541
201	136	540
202	137	539
203	138	539
204	139	539
205	139	538
206	140	538
207	141	537
208	142	537
209	142	537
210	143	536
211	144	535
212	144	535
213	145	534
214	146	533
215	146	532
216	147	532
217	148	531
218	148	531
219	149	530
220	150	529
221	151	529
222	151	528
223	152	528
224	153	527
225	153	527
226	154	526
227	155	525
228	155	525
229	156	524
230	157	523
231	157	523
232	158	521
233	159	520
234	159	520
235	160	519
236	161	519
237	161	518
238	162	518
239	163	517
240	164	516
241	164	515
242	165	514
243	165	514
244	166	513
245	167	512
246	167	512
247	168	510
248	169	510
249	169	509
250	170	509
251	171	509
252	172	508
253	172	507
254	173	507
255	174	506
256	175	506
257	175	505
258	176	505
259	177	504
260	178	504
261	178	503
262	179	503
263	180	501
264	180	501
265	181	501
266	182	500
267	183	500
268	183	499
269	184	499
270	185	498
271	186	497
272	186	496
273	187	495
274	187	495
275	188	494
276	189	493
277	189	493
278	190	492
279	191	491
280	191	490
281	192	490
282	193	489
283	193	489
284	194	488
285	195	487
286	195	486
287	196	486
288	197	485
289	198	485
290	199	484
291	199	484
292	200	483
293	201	482
294	201	482
295	202	481
296	203	480
297	203	480
298	204	479
299	205	478
300	205	478
301	206	477
302	207	476
303	208	476
304	208	475
305	209	474
306	210	474
307	210	473
308	211	472
309	212	472
310	212	471
311	213	471
312	214	470
313	215	470
314	215	469
315	216	468
316	217	467
317	217	467
318	218	466
319	219	466
320	220	465
321	220	464
322	221	464
323	222	463
324	222	462
325	223	461
326	224	461
327	224	460
328	225	459
329	225	458
330	226	458
331	227	457
332	228	457
333	228	456
334	229	455
335	230	454
336	230	454
337	231	453
338	232	452
339	232	452
340	233	451
341	234	450
342	234	449
343	235	449
344	236	448
345	236	447
346	237	447
347	238	446
348	239	446
349	239	445
350	240	444
351	241	444
352	241	443
353	242	442
354	243	442
355	243	441
356	244	440
357	245	439
358	246	439
359	246	438
360	247	437
361	248	437
362	248	436
363	249	435
364	250	435
365	250	434
366	251	433
367	252	432
368	252	432
369	253	431
370	254	430
371	254	430
372	255	429
373	256	428
374	256	428
375	257	427
376	258	426
377	259	426
378	259	425
379	260	424
380	260	423
381	261	423
382	262	422
383	262	421
384	263	420
385	264	420
386	264	419
387	265	418
388	266	418
389	266	417
390	267	416
391	268	416
392	269	415
393	269	414
394	270	414
395	271	413
396	271	412
397	272	412
398	272	411
399	273	410
400	274	409
401	275	409
402	275	408
403	276	407
404	277	407
405	277	406
406	278	405
407	279	405
408	279	404
409	280	403
410	281	403
411	281	402
412	282	401
413	283	400
414	283	400
415	284	399
416	285	398
417	286	398
418	286	397
419	287	396
420	288	396
421	288	395
422	289	394
423	289	393
424	290	392
425	290	392
426	291	391
427	292	390
428	293	389
429	293	389
430	294	388
431	294	387
432	295	387
433	296	386
434	296	385
435	297	385
436	298	384
437	299	383
438	299	383
439	300	382
440	301	381
441	301	381
442	302	380
443	303	379
444	304	379
445	304	378
446	305	377
447	306	377
448	306	376
449	307	375
450	308	375
451	308	374
452	309	373
453	310	373
454	310	372
455	311	371
456	312	370
457	312	370
458	313	369
459	314	368
460	314	368
461	315	367
462	316	366
463	317	366
464	317	365
465	318	364
466	318	363
467	319	363
468	320	362
469	320	361
470	321	360
471	321	360
472	322	359
473	323	358
474	323	357
475	324	357
476	325	356
477	326	356
478	326	355
479	327	354
480	328	354
481	328	353
482	329	352
483	330	351
484	330	351
485	331	350
486	331	349
487	332	349
488	333	348
489	334	347
490	334	346
491	335	346
492	336	345
493	336	344
494	337	344
495	338	343
496	338	342
497	339	342
498	340	341
499	340	340
500	341	340
501	341	339
502	342	338
503	343	337
504	343	337
505	344	336
506	345	335
507	345	335
508	346	334
509	347	333
510	348	333
511	348	332
512	349	331
513	350	330
514	350	330
515	351	329
516	351	328
517	352	328
518	353	327
519	354	326
520	354	326
521	355	325
522	356	324
523	356	324
524	357	323
525	358	322
526	358	321
527	359	321
528	360	320
529	361	320
530	361	319
531	362	318
532	362	317
533	363	317
534	364	316
535	364	315
536	365	315
537	366	314
538	367	313
539	367	313
540	368	312
541	369	311
542	369	311
543	370	310
544	371	309
545	371	309
546	372	308
547	373	307
548	373	307
549	374	306
550	375	305
551	376	305
552	376	304
553	377	303
554	378	303
555	378	302
556	379	301
557	380	301
558	380	300
559	381	299
560	382	299
561	382	298
562	383	297
563	384	297
564	384	296
565	385	295
566	386	295
567	387	294
568	387	293
569	388	293
570	389	292
571	389	291
572	390	291
573	391	290
574	391	289
575	392	288
576	393	288
577	393	287
578	394	286
579	395	286
580	396	285
581	396	284
582	397	284
583	398	283
584	398	282
585	399	282
586	400	281
587	400	280
